Metabolite	p_value	coefficient	Class	KEGGid
1,3-dihydroxyacetone	0.119891940737864	0.582557005347398	Misc	C00184
2-deoxyuridine	0.494259192153206	0.272176797431576	Misc	C00526
2-hydroxyglutaric acid	0.113265027784222	-0.81994392536381	Misc	C02630
2-ketoisocaproic acid 	0.00491968855316344	2.30345230493371	Misc	
3-(3-hydroxyphenyl)propionic acid	0.827136445701502	-0.260195381671024	Misc	C11457
3-hydroxybutyric acid	0.000266815627280506	1.33110819699201	Misc	C01089
4-hydroxyphenylacetic acid	0.000800133777247025	3.14929387653785	Misc	C00642
6-deoxy-D-glucose	0.00236631038479891	1.20891567240837	Carbohydrate	C02522
alpha tocophereol	0.289047871281109	0.257186231426153	Misc	C02477
alpha-muricholic acid	0.0624458036546587	0.616620477346823	Sterol	C17647
aminomalonic acid	0.00491968855316344	1.2923797055839	Amino acid	C00872
arabitol	0.600249670380798	-0.157163153113476	Carbohydrate	C00532
arachidic acid	0.0728044075239723	0.775738765404848	Lipid	C06425
arachidonic acid	0.000138191790329525	2.0069195940397	Lipid	C00219
behenic acid	0.539849120640412	-0.326409682541875	Lipid	C08281
beta-glycerolphosphate	0.0610945639349486	2.07159541528036	Misc	C02979
beta-muricholic acid	0.0292636669529202	-1.11104349171676	Sterol	C17727
beta-sitosterol	0.0562488681144108	0.717296766228064	Sterol	C01753
beta-tocopherol	0.951719114951692	-0.0153981145340207	Misc	C14152
campesterol	0.00514868288068336	1.23056383639418	Sterol	C01789
carbonate ion	0.000217573916610595	1.64066313418251	Inorganic ion	C00288
chenodeoxycholic acid	0.919788727244396	0.113030578562031	Sterol	C02528
cholesta-3,5-diene	0.494259192153206	0.182366200480197	Sterol	
cholesterol	0.00456872780162037	1.08799455021051	Sterol	C00187
cholic acid	0.993703747729498	0.00238093663521964	Sterol	C00695
citric acid	0.787601011518353	-0.262122430070441	TCA	C00158
coprostanol	0.0178524101504201	2.82977320009538	Sterol	
creatinine	0.00373919295544557	1.59769583845728	Misc	C00791
D-galacturonic acid	1.71815879421871e-05	-3.39772515124369	Carbohydrate	C00333
D-gluconic acid	0.0709576169238558	0.759390154200322	Carbohydrate	C00257
D-glucose	0.0046550662318234	1.91180090362813	Carbohydrate	C00031
D-glucuronic acid	0.889996684291156	-0.0492405742850085	Carbohydrate	C00191
D-malic acid	0.00237974555506038	1.50343738359993	TCA	C00497
D-mannitol	0.792179621391489	0.171423610547057	Carbohydrate	C00392
D-mannose	0.000266815627280506	-2.47422340820777	Carbohydrate	C00159
D-ribose	0.0068792173888821	1.05716763789137	Carbohydrate	C00121
D-sphingosine	0.0124737376209156	0.946411203228989	Lipid	C00319
D-xylose	0.157548535529476	1.06209122182156	Carbohydrate	C00181
dehydroalanine	2.58944084955087e-05	2.53338662483569	Amino acid	C02218
delta-tocopherol	0.289047871281109	-0.305016677897808	Misc	C14151
DL-dihydrosphingosine	0.0120522875708903	-0.781722886735049	Lipid	C00836
docosahexaenoic acid	6.93358175110225e-05	2.02995115739058	Lipid	C06429
eicosapentaenoic acid	0.00830271332405421	-1.27091788907924	Lipid	C06428
eicosatrienoic acid	0.000211801970030732	1.68713530928668	Lipid	C03242
ethanolamine	0.0515711208449571	0.704268715601024	Misc	C00189
fructose	2.58944084955087e-05	-3.42464755799821	Carbohydrate	C00095
fucose	0.726854237709543	-0.234252177916307	Carbohydrate	C01019
fumaric acid	0.0849547464367121	2.41642739889661	TCA	C00122
galactonic acid	0.600249670380798	0.329377906668419	Carbohydrate	C00880
glyceric acid	0.497432400099139	0.216306078316921	Misc	C00258
glycerol 3-phosphate	0.0104270911128003	1.30593632484243	Misc	C00093
glycine	0.0147031972456854	0.82743078159413	Amino acid	C00037
glycolic acid	0.00151663033697263	1.25323406541649	Misc	C00160
heneicosanoic acid	0.575179081017869	-0.267054925347406	Lipid	
heptadecanoic acid	0.92627372010962	0.0718685993733962	Lipid	
hexacosanoic acid	0.380708707405242	-0.478057871001715	Lipid	
hexadecanedioic acid	0.000368551947861216	1.46185726530605	Lipid	C19615
hexadecylglycerol	0.000480677917744442	1.5089279222615	Lipid	
hypotaurine	0.00847037294202703	0.897479881203526	Misc	C00519
L-alanine	0.000266815627280506	1.34329714796215	Amino acid	C00041
L-aspartic acid	0.00514868288068336	0.820533947889166	Amino acid	C00049
L-citrulline	0.000480677917744442	2.73517468160532	Amino acid	C00327
L-cysteine	0.000266815627280506	2.19186837304151	Amino acid	C00097
L-glutamic acid	0.0104270911128003	0.851466720706394	Amino acid	C00025
L-isoleucine	0.000185918622574928	1.73425452308325	Amino acid	C00407
L-leucine	0.000129296758651826	1.71137883708459	Amino acid	C00123
L-lysine	5.39665571645928e-05	2.36588281892956	Amino acid	C00047
L-methionine	0.000250329494259436	1.67361555360393	Amino acid	C00073
L-ornithine	0.0123507129798845	2.02371507329498	Amino acid	C00077
L-phenylalanine	0.000176943299374911	2.32229297868878	Amino acid	C00079
L-proline	0.000185918622574928	1.43947145065436	Amino acid	C00148
L-serine	0.000298474425018272	1.42037032498993	Amino acid	C00065
L-threonic acid	0.000580820272431992	2.05600873072237	Misc	C01620
L-threonine	0.000250329494259436	1.56515237622893	Amino acid	C00188
L-tryptophan	0.000800133777247025	1.84419599769115	Amino acid	C00078
L-tyrosine	8.23336794994025e-05	1.83710144802984	Amino acid	C00082
L-valine	0.000211801970030732	1.59776826043168	Amino acid	C00183
lactate	0.000164266445127736	1.3424479193541	Misc	C00186
lanosterol	0.434478097475502	-0.590060066867951	Sterol	C01724
lauric acid	0.0264017710336843	1.14389553807504	Lipid	C02679
lignoceric acid	0.693197759203029	-0.16433725056029	Lipid	C08320
linoleic acid	6.93358175110225e-05	2.28520866608948	Lipid	C01595
maltose	0.1070586880688	0.900899922888198	Carbohydrate	C00208
mannitol phosphate	8.23336794994025e-05	-2.38451212225192	Carbohydrate	C00644
methyl arachidonate	0.0951833106917271	1.06687559365371	Lipid	
methyl cholate	0.0497732652129824	-1.60587166272591	Sterol	C00695
methyl docosahexaenoate	0.109921450908474	1.00960244270142	Lipid	
methyl docosanoate	0.424040209825589	0.348242190002331	Lipid	
methyl eicosadienoate	0.0340930024677783	0.968447429454239	Lipid	
methyl eicosanoate	0.0229995119739362	0.928799355684881	Lipid	
methyl eicosenoate	0.00420009099475604	1.5982059573364	Lipid	
methyl erucate	0.0133714253321221	1.18921627560575	Lipid	
methyl hexacosanoate	0.00249736261802246	3.02856792270053	Lipid	
methyl icosatrienoate	0.247699015708838	0.615293562066075	Lipid	
methyl linocerate	0.0728044075239723	0.634910679322893	Lipid	
methyl linolenate	0.0961802166693366	1.14718371464378	Lipid	
methyl oleate	0.0137369385463501	1.40211847207797	Lipid	
methyl palmitate	0.142170703842788	0.946593786221379	Lipid	
methyl pentadecanoate	0.142170703842788	-1.31567689483674	Lipid	
methyl phosphate	0.000226451690634176	1.35367741195743	Misc	
methyl stearate	0.23095333939973	0.728232446581079	Lipid	
methyl tricosanoate	0.42111325916387	0.289079241972619	Lipid	
methyl-beta-D-galactopyranoside	0.39138063568669	-0.285206307045437	Carbohydrate	C03619
myo-inositol	0.00213489118197794	1.41274711809421	Carbohydrate	C00137
myristic acid	0.00431500483149536	1.31837840990311	Lipid	C06424
N-acetylneuraminic acid	0.00430990069380476	2.77690417917266	Carbohydrate	C00270
N-methylalanine	0.289047871281109	1.0391758388411	Amino acid	C02721
nicotinic acid	0.827136445701502	-0.0772296673014983	Lipid	C00253
nonadecanoic acid	0.0493862790758543	0.95610275835062	Lipid	C16535
O-phosphocolamine	0.625213306844522	0.665026828991512	Misc	C00346
octadecylglycerol	0.00185566004885436	1.45423228242367	Lipid	
oleic acid	0.000250329494259436	2.16632754827774	Lipid	C00712
palmitic acid	0.0154034769904346	1.15755410878351	Lipid	C00249
palmitoleic acid	0.074684691973158	0.79120180180067	Lipid	C08362
pantothenic acid	0.424040209825589	-0.431887707554327	Misc	C00864
pentacosanoic acid	0.057406830749229	-0.714972083601238	Lipid	
pentadecanoic acid	0.92268091083158	-0.0367294672463978	Lipid	C16537
phosphate ion	0.000800133777247025	1.05036562597129	Inorganic ion	C00009
phytosphingosine	0.494259192153206	-0.194201798520326	Lipid	C12144
pyruvic acid	0.0313176718284948	1.84262751123596	TCA	C00022
scyllo-inositol	0.000658904002453489	-2.00564413784515	Carbohydrate	C06153
stearic acid	0.0292636669529202	1.06123276461575	Lipid	C01530
stigmasta-3,5-diene  	0.00882689498387627	-2.50451194080712	Sterol	
stigmastanol	0.000965742977723567	4.16489372499385	Sterol	
Stigmasterol	0.355597262983958	0.394892335415863	Sterol	C05442
sucrose	0.149747290573381	-1.13913593713425	Carbohydrate	C00089
tartaric acid	0.000135155619697206	4.51420720152498	TCA	C00898
taurine	0.274546823408375	-1.80748060029058	Misc	C00245
tetracosanol	0.074684691973158	-0.505422750757681	Lipid	
thymine	0.0154034769904346	0.811853626919952	Misc	C00178
trehalose	0.355597262983958	-0.9997353201357	Carbohydrate	C01083
tricosanoic acid	0.451219686447876	-0.269319581036349	Lipid	
tricosanol	0.600249670380798	-0.178464701077026	Lipid	
uracil	0.107339762053547	0.494294315660801	Misc	C00106
